id_i,msg_id
twitter/2917823769,twitter/1945886104709657087
twitter/993520008,twitter/1739084101028880785
twitter/1876155543787859968,twitter/1928332630962888719
twitter/226273941,twitter/1863562268580991324
twitter/500153925,twitter/1889887338630885539
twitter/1720545154384244736,twitter/1888727091744829813
twitter/348559988,twitter/1897446748164927765
twitter/1792231432326119424,twitter/1819743373483254013
twitter/3745055235,twitter/1740762592451469401
twitter/52468378,twitter/1703405260512141606
twitter/701251718109986816,twitter/1681330194190340098
twitter/2608241,twitter/1796235844334096870
twitter/1427320507792171034,twitter/1899662006812385673
twitter/3745055235,twitter/1740761805096394842
twitter/1653825464920580106,twitter/1867368980736094496
twitter/1014060822341926912,twitter/1341378813540745216
twitter/4064434513,twitter/1862488040595497021
twitter/915054058037059584,twitter/962196352057860096
twitter/43409523,twitter/1897411941917974734
twitter/43409523,twitter/1889694354727489807
twitter/40154522,twitter/1860328608901828626
twitter/1383108681135378432,twitter/1853560108808077646
twitter/1457998356978946053,twitter/1806943123496722479
twitter/1540583412582567936,twitter/1890572563069235504
twitter/1379705059307569152,twitter/1750066229497262247
twitter/1674773994786914304,twitter/1850608959251702061
twitter/703676662697717761,twitter/1897339001620910178
twitter/744381187,twitter/1894936468306407779
twitter/1500248654317195265,twitter/1848044605876605334
twitter/1263039637590872066,twitter/1836387401322688951
twitter/1788298379455279105,twitter/1861102896261013813
twitter/46315077,twitter/1894180496420008164
twitter/2810427675,twitter/1899676076067967304
twitter/1659556481505607681,twitter/1858722614702658026
twitter/14041792,twitter/1908885996025819140
twitter/1491292855931138049,twitter/1819496685636407483
twitter/1539499688071938048,twitter/1815173039644119178
twitter/1544498412694806530,twitter/1558704886061080588
twitter/3242723604,twitter/1880851822820417731
twitter/806321012136640512,twitter/1780991094987051413
twitter/15530583,twitter/1848366659825799407
twitter/1439149054328406024,twitter/1845232529902891447
twitter/1373995125664227328,twitter/1857889659508109388
twitter/1743640074351472640,twitter/1899313302725120456
twitter/813311526266437632,twitter/1896987659555455320
twitter/1674773994786914304,twitter/1901734343778660611
twitter/1109522844851961856,twitter/1852795679707443672
twitter/14134204,twitter/1878537644222591254
twitter/592326946,twitter/1845229652102742441
twitter/1491292855931138049,twitter/1909950846449959108
