user_i,tweet_id,user_j
twitter/1562935142,twitter/1908607400753672205,twitter/26425847
twitter/1463328397669519362,twitter/1908607400753672205,twitter/17434665
twitter/1175221,twitter/1908612028643582065,twitter/92239108
twitter/5836822,twitter/1908612028643582065,twitter/1438332160377819138
twitter/1784785800153927680,twitter/1908859231526146150,twitter/705650882
twitter/1634365835757367296,twitter/1908859231526146150,twitter/201199449
twitter/1588632865406738432,twitter/1920123733185818916,twitter/979752282
twitter/15499905,twitter/1920123733185818916,twitter/17377637
twitter/1653825464920580106,twitter/1924641763417084065,twitter/400859124
twitter/1682637075085164544,twitter/1924641763417084065,twitter/348559988
twitter/2294577649,twitter/1929293801178509764,twitter/1245134285230637057
twitter/14697183,twitter/1929293801178509764,twitter/75050644
twitter/4871096265,twitter/1929643441988005918,twitter/848221767361482752
twitter/42969356,twitter/1929643441988005918,twitter/1502185069590757376
twitter/4871096265,twitter/1929819749992804809,twitter/1351907056610127873
twitter/311857483,twitter/1929819749992804809,twitter/19718279
twitter/1784785800153927680,twitter/1933930613838368988,twitter/806321012136640512
twitter/1618274101738569729,twitter/1933930613838368988,twitter/993520008
twitter/29575129,twitter/1945885572662247429,twitter/1704021913939615744
twitter/889582208557731840,twitter/1945885572662247429,twitter/1012426446
twitter/1241035399012569088,twitter/894727241745154048,twitter/913660617348673536
twitter/1763399553108398080,twitter/894727241745154048,twitter/885461702912860161
twitter/1415161108516597766,twitter/962181740201615360,twitter/500153925
twitter/744150240136044544,twitter/962181740201615360,twitter/1012426446
twitter/2460279166,twitter/1927611486752448902,twitter/744381187
twitter/1484285901140373505,twitter/1927611486752448902,twitter/42969356
twitter/1739893930970296320,twitter/1891199971439116740,twitter/1618274101738569729
twitter/1320503314753056770,twitter/1891199971439116740,twitter/592326946
twitter/962986011256004608,twitter/1823210397601808617,twitter/4848607524
twitter/1305977989,twitter/1823210397601808617,twitter/1596449132964708354
twitter/16850171,twitter/1805628030775095613,twitter/2810427675
twitter/852619816254939136,twitter/1805628030775095613,twitter/1455821491543683072
twitter/409548427,twitter/1712280231539523834,twitter/1079818036000030723
twitter/1526748380504150016,twitter/1712280231539523834,twitter/1634365835757367296
twitter/913202969503346688,twitter/1268620623489560576,twitter/1452733698164596741
twitter/1830938551107932160,twitter/1268620623489560576,twitter/993199663
twitter/1373995125664227328,twitter/1571981360906080257,twitter/1263524305977122823
twitter/1439149054328406024,twitter/1571981360906080257,twitter/592326946
twitter/15499905,twitter/1196636807728791552,twitter/436972374
twitter/1241035399012569088,twitter/1196636807728791552,twitter/1512255277214617639
