user_i,tweet_id,user_j
twitter/46315077,twitter/1887246764668789136,twitter/5836822
twitter/1618274101738569729,twitter/1887246764668789136,twitter/1630865077762138112
twitter/1797536627625238528,twitter/1888942482941170078,twitter/1491292855931138049
twitter/1263039637590872066,twitter/1888942482941170078,twitter/26425847
twitter/22168210,twitter/1890307571736543246,twitter/1656128821287071744
twitter/1201888874378780674,twitter/1890307571736543246,twitter/1825463722485465088
twitter/3868113935,twitter/1890572563069235504,twitter/1797536627625238528
twitter/2917823769,twitter/1890572563069235504,twitter/15220945
twitter/1030642280,twitter/1890729427321212951,twitter/1651804028702175232
twitter/1790910575750385664,twitter/1890729427321212951,twitter/962986011256004608
twitter/701643875304116224,twitter/1893669581224288601,twitter/1656128821287071744
twitter/838033969954320385,twitter/1893669581224288601,twitter/1743640074351472640
twitter/899233803851276288,twitter/1896987659555455320,twitter/1247739396813549569
twitter/2439588188,twitter/1896987659555455320,twitter/44748523
twitter/1843615397339357184,twitter/1897336418424455220,twitter/328576792
twitter/701643875304116224,twitter/1897336418424455220,twitter/1653082575567724544
twitter/15577507,twitter/1897336418424455220,twitter/1245134285230637057
twitter/1476735846825226245,twitter/1897336418424455220,twitter/15631093
twitter/1686786892287950848,twitter/1897336418424455220,twitter/1759855218722799616
twitter/156972610,twitter/1897336418424455220,twitter/1390814785541971972
twitter/855036990,twitter/1897336418424455220,twitter/42969356
twitter/1706689638541434881,twitter/1897336418424455220,twitter/5836822
twitter/861727430,twitter/1897336418424455220,twitter/1764829765607792640
twitter/2608241,twitter/1897336418424455220,twitter/1630865077762138112
twitter/1351907056610127873,twitter/1897336418424455220,twitter/309070309
twitter/921272455691321344,twitter/1897336418424455220,twitter/1081878133664612352
twitter/156972610,twitter/1897353433314918909,twitter/1463328397669519362
twitter/1600956195770023936,twitter/1897353433314918909,twitter/1452733698164596741
twitter/52468378,twitter/1897353433314918909,twitter/3283901
twitter/1588632865406738432,twitter/1897353433314918909,twitter/792583894197567489
twitter/1502185069590757376,twitter/1897353433314918909,twitter/4064434513
twitter/2294577649,twitter/1897353433314918909,twitter/962986011256004608
twitter/1336551801508655105,twitter/1897353433314918909,twitter/2721254012
twitter/29575129,twitter/1897353433314918909,twitter/436972374
twitter/1245134285230637057,twitter/1897411941917974734,twitter/915054058037059584
twitter/328576792,twitter/1897411941917974734,twitter/979752282
twitter/1483251389035958273,twitter/1897455261394043071,twitter/792583894197567489
twitter/16850171,twitter/1897455261394043071,twitter/1825463722485465088
twitter/1266165136898895872,twitter/1897455261394043071,twitter/5836822
twitter/1733074634117951488,twitter/1897455261394043071,twitter/1265111322586316801
twitter/1266165136898895872,twitter/1897455261394043071,twitter/1079764836676816902
twitter/1118560896450646016,twitter/1897455261394043071,twitter/17377637
twitter/1634365835757367296,twitter/1897455261394043071,twitter/1759855218722799616
twitter/1201888874378780674,twitter/1897455261394043071,twitter/4064434513
twitter/72260786,twitter/1897655978037825782,twitter/1797536627625238528
twitter/4871096265,twitter/1897655978037825782,twitter/1012426446
twitter/1308936076724117506,twitter/1897655978037825782,twitter/806321012136640512
twitter/116529568,twitter/1897655978037825782,twitter/891119762847277056
twitter/3283901,twitter/1897655978037825782,twitter/848221767361482752
twitter/1011008340367953920,twitter/1897655978037825782,twitter/1012426446
twitter/1383108681135378432,twitter/1897655978037825782,twitter/5836822
twitter/1379705059307569152,twitter/1897655978037825782,twitter/1011008340367953920
twitter/1081878133664612352,twitter/1898152939182501906,twitter/1014060822341926912
twitter/861727430,twitter/1898152939182501906,twitter/1682637075085164544
twitter/1081878133664612352,twitter/1898581298400133566,twitter/116529568
twitter/1245134285230637057,twitter/1898581298400133566,twitter/3745055235
twitter/328576792,twitter/1899262915334570473,twitter/3745055235
twitter/1269666360969265152,twitter/1899262915334570473,twitter/744150240136044544
twitter/1436139230145753090,twitter/1899588164920238550,twitter/793542678377926656
twitter/21315931,twitter/1899588164920238550,twitter/1452733698164596741
