user_i,tweet_id,user_j
twitter/1350069356047212544,twitter/1415977185723121666,twitter/1350069356047212544
twitter/1350069356047212544,twitter/1415977185723121666,twitter/1350069356047212544
twitter/1205537149556264965,twitter/1586589620145471489,twitter/885461702912860161
twitter/1205537149556264965,twitter/1586589620145471489,twitter/885461702912860161
twitter/15631093,twitter/1634030239302184966,twitter/15631093
twitter/15631093,twitter/1634030239302184966,twitter/15631093
twitter/744150240136044544,twitter/1733823386835730878,twitter/993520008
twitter/744150240136044544,twitter/1733823386835730878,twitter/993520008
twitter/1738514066333937664,twitter/1781695528717496694,twitter/400859124
twitter/1738514066333937664,twitter/1781695528717496694,twitter/400859124
twitter/3877924333,twitter/1790373348398272520,twitter/3877924333
twitter/3877924333,twitter/1790373348398272520,twitter/3877924333
twitter/1527689488549703680,twitter/1794376701335789636,twitter/1527689488549703680
twitter/1527689488549703680,twitter/1794376701335789636,twitter/1527689488549703680
twitter/1476735846825226245,twitter/1833026369770393921,twitter/1797536627625238528
twitter/1476735846825226245,twitter/1833026369770393921,twitter/1797536627625238528
twitter/1513864060713902083,twitter/1844089129824616566,twitter/792583894197567489
twitter/1513864060713902083,twitter/1844089129824616566,twitter/792583894197567489
twitter/15530583,twitter/1848365079072329827,twitter/15530583
twitter/15530583,twitter/1848365079072329827,twitter/15530583
twitter/1830816031872557057,twitter/1861421801823519155,twitter/1830816031872557057
twitter/1830816031872557057,twitter/1861421801823519155,twitter/1830816031872557057
twitter/1012426446,twitter/1874505897516691540,twitter/3321689336
twitter/1012426446,twitter/1874505897516691540,twitter/3321689336
twitter/309070309,twitter/1897353433314918909,twitter/348559988
twitter/348559988,twitter/1897353433314918909,twitter/309070309
twitter/1390814785541971972,twitter/1897353433314918909,twitter/348559988
twitter/348559988,twitter/1897353433314918909,twitter/309070309
twitter/1390814785541971972,twitter/1897353433314918909,twitter/348559988
twitter/1390814785541971972,twitter/1897353433314918909,twitter/309070309
twitter/1390814785541971972,twitter/1897353433314918909,twitter/309070309
twitter/348559988,twitter/1897353433314918909,twitter/309070309
twitter/1858572661594415104,twitter/1898152939182501906,twitter/908943769981956097
twitter/1858572661594415104,twitter/1898152939182501906,twitter/908943769981956097
twitter/2810427675,twitter/1899676076067967304,twitter/46315077
twitter/2810427675,twitter/1899676076067967304,twitter/46315077
twitter/17434665,twitter/1929293801178509764,twitter/3242723604
twitter/17434665,twitter/1929293801178509764,twitter/3242723604
twitter/1484285901140373505,twitter/1929643441988005918,twitter/1619878405
twitter/1484285901140373505,twitter/1929643441988005918,twitter/1619878405
twitter/1427776299012087810,twitter/1701119929087393890,twitter/40154522
twitter/1427776299012087810,twitter/1701119929087393890,twitter/40154522
twitter/16850171,twitter/1787854924749099401,twitter/16850171
twitter/16850171,twitter/1787854924749099401,twitter/16850171
twitter/5836822,twitter/1568974009576083456,twitter/5836822
twitter/5836822,twitter/1568974009576083456,twitter/5836822
