tweet_id,tweet_text
1486929963395731461,An unprecedented 243 global NGOs+#HumanRights groups call for diplomatic boycott of #Beijing2022—and call out crushing repression in #China ahead of Winter @Olympics next week (+@HRW @UyghurProject @CHRDnet @TibetAction @hrichina @FreedomHouse—list below)  https://t.co/SU5ChsnWoV https://t.co/gD1xkwLiTq
1489619663902453766,The #Beijing2022 Winter Olympics opened in the shadow of a diplomatic boycott over China's human rights record and devoid of most spectators due to the coronavirus pandemic https://t.co/Z5nw3xZUHp https://t.co/X1tma7nYQn
1491277140729294848,"Eileen Gu's message is she's proud of her dual heritage. But she's walking a tightrope. Some have accused her of prioritizing profit, while staying silent on human rights issues in China.  Eileen's more than just the poster child of Beijing's Olympics...@cnn @ErinBurnett https://t.co/9cFr8CMmds"
1497933809701949444,Remember when players were told to stop showing support for Palestine because it’s “anti-Semitic” and we need to “keep politics out of football”  When Özil spoke out about a GENOCIDE against Uyghur Muslims he was kicked out of the club  I wonder what the difference is…
1507025671058456580,"@JESTRAMENTAL1 @CominternQueer I don't know what underground churches means.  I think Social credit system and Uighur Camps are ridiculous and lame slanders.  I guess the tennis player you said should be 彭帅. I didn't know her story in detail. In my opinion, she may be a high-level mistress who wants to rise"
1516391433514545153,I hope people - especially football journalists in Europe and the Americas - remember this when China tries to bid for a World Cup
1529362252003876864,"@Gerashchenko_en 1. CCP told Putin it was OK to invade Ukraine, as long as they waited until after Olympics. CCP ordered over 300 cyberattacks on Ukrainian govt/business computer systems when Russia invaded. CCP bought large grain contracts in Ukraine only months b4 the invasion &amp; switched"
1537458467396472837,@_Solomonisland_ @FOXNRL @Foxtel @kayosports You do realise Locky won 3 grand finals without Hodges and 1 with him Munster would be lucky to captain a NRL team let alone Qld or Australia let me know when Munster wins three dally m medals at 6 and 3 at 1 Munster not better than Walters who has 6 premierships
1587425247011160065,"A Chinese father brutally assaulted his daughter on a Serbian tennis court. He plead innocent when charged because he claimed that ‘it’s normal behavior in China.’ If this is how a father ‘normally’ treats his daughter in China, then #PengShuai should be in our prayers. #China"
1611349891510566921,All the gold that has ever been mined in all of human history could fill about three Olympic-sized swimming pools.
1614891086958166016,VIEWER DISCRETION IS ADVISED!!  Footage of former Zambian Footballer Philemon Mulala has emerged as he was mauled to death by his three dogs in his house at Litchenburg .  Pastor Tunde Bakare Nana Reno Omokri Emefiele Davido and Chioma Big Brother Titans Ebuka https://t.co/i5Uyf0kAt4
1618384607203971073,"@SenTomCotton Half of the GOP whines about the U.S. helping Ukraine. The other half ridicules Biden for not doing enough. If Biden were to do anything different, he'd still have half of y'all soapboxing about how terrible of a job he's doing."
1626270704407838720,"My life’s more than just basketball… because there’s a whole lot more to life! 🙏🏾 With @LIFEWTR, we're hoping others go out &amp; find their passion &amp; purpose like I've found mine. Because to live a meaningful life requires more!! 👑💧 #LifeWTRpartner https://t.co/89RccTH5hP https://t.co/zxpmXALglk"
1640687116014301185,Two days to go until the @FourthFrontier webinar and @SSharmacardio will join @paulajradcliffe and @TimHutchings1 🩺  - World-renowned sports cardiologist - Medical Director for @LondonMarathon - Medical Team Lead for London 2012 Olympics   Sign-up ⬇️ #ad  https://t.co/0UuJRQj8Bf https://t.co/93jY65eVoA
1659884173757411329,"Influencers and YouTubers are making millions by taking their internet feuds into the boxing ring.   This week on Pop Culture, host @ChantayyJayy and Rob Armstrong uncover how the boxing community is reacting to these influencers' matches.   Listen wherever you get your podcasts. https://t.co/PqCV85LxB8"
1700575232547864848,@Football__Tweet When he first went to Madrid he was voted the worse signing ever at Christmas just shows you how much football fans know
1706985244002304460,"While everyone is rightly celebrating the medals that India is winning daily at the Hangzhou #AsianGames, let’s not forget that China disgracefully refused to allow three Indian athletes entry into their country because they were born in Arunachal Pradesh. These three wushu…"
1724455713332670839,"@CarminDj @guardian Quand on a 62 ans et qu'on a passé 30 ans pépère à @UNHumanRights, l'habitude est de se faire passer pour un héros pour trouver du taf chez @hrw, @amnesty ou @Olympics . Comme @raad_zeid, ancien Haut-Commissaire dont les employés sont complice du #GénocideOuïghour, et qui 1/2"
1734113568113512798,NO RUSSIA 🇷🇺 AT THE OLYMPICS!!  Murders belong in jail; not going from the 🇺🇦 battlefield to track-and-field in Paris 🇫🇷.  Absolutely no Russian athletes should be allowed in international sport until Russia 🇷🇺 withdraws from Ukraine 🇺🇦!! https://t.co/tugzxchJDj
1735511933103866241,"Three big wins for the environment in the last nine days of Parliament for 2023:  ✅ Passed legislation to establish the world’s first Nature Repair Market, to boost investment in nature and prevent greenwashing.   ✅ Updated the water trigger in our environment law to cover unconventional gas projects.   ✅ Rescued the Murray-Darling Basin Plan, to deliver an extra 180,000 Olympic swimming pools of water for the environment."
1750612505221615723,Even European football has challenges but these television networks that bring it here pay people (here) to praise it and portray it in the best light. These same people some of them are   prominent media people when it comes to our local football they sell and promote the negative. #TutegereOmupiira
1752328748253220911,"MAGA doesn’t believe it’s possible for a pop star to be dating a football player whose team is going to the Super Bowl, but they DO believe that Donald Trump was found liable of sexual assault, defamation &amp; business fraud “for them.”  And that is how you know it’s a cult."
1779397224449147202,"*BJP's MANIFESTO* -UCC, One Nation One Election -Ration,Gas,Water, electricity, Housing , healthcare for all -Road, Railway, Airways etc Infra Development  -Making India a 5 trillion economy, India to host Olympics  *INDI ALLIANCE MANIFESTO* -Scholarship for Muslims to study in abroad -Recognition of Sharia law -Allowing Burqa-Hijab in schools -Caste census to divide Hindus -Breaking the relationship with major friendly countries -Destroy all the Atomic Weapons to make India weak  Now the choice is yours...!!!"
1782300534361522295,"@yomi_olympic @downthreebreaks @jaketapper Also, Israel doesn’t have a written charter and they certainly do not have any rule, law or written declaration to eliminate all Arabs. You are simply lying. Up until October 7th, Arabs from Gaza &amp; the West Bank were free to travel and work in Israel. https://t.co/Fy5w4o51nM"
1782508176136454273,@iamBrianBJ @EricRie @Erstwhilian @ESLE78 @Eugen2Rastignac @jenn_buckle @MTrumpeldor1948 @mrfeinsod @hamasgbir @Dkarbowitz @BrianofValinor @ffootballgeek @fish_puddle @FredRosner @FroggyDeb2005 @JamesCappleman @YardenBenJoseph @AmiYafa68583 @glassliora22 @HillelLevi123 @IsaacKarymon @HasGlasses @delictum @ignTechniq @27kislev5719 @gagliano_b @giladk2 @golfbravo99 Thank you 🙏🏽
1782870816461652069,"Sure I love swimming, and it's been magic for my knee.   But truth be told the real reason I swim so frequently is because I hate cleaning my shower stall."
1783900381346410512,"""On Howard Stern's show today, Biden claimed...  - He saved 6 people from drowning as a lifeguard (Lie) - He received """"salacious pictures"""" from women in the 70s that he handed to Secret Service (Definitely a lie and senators don't have secret service protection) - That he was arrested as a kid while standing with a black family on their porch as people were protesting desegregation. (Lie) - That he was """"runner-up in state scoring"""" in football. (Lie)"""
1788235796480229428,"There's been a lot of bluster the last couple days from my opponent on some very important issues- from the border crisis and illegal immigration to the economy and reckless spending, and even protecting the sanctity of life and pro-life values. This is great news as it means our campaign is over the target 💪🎯 These issues having far too great an impact on voters than to simply be relegated to political talking points by politicians to spin once it's election time. Nebraskans know as well as anyone that talk is cheap. Effectiveness isn't measured by how much paper you push but by how far you move the ball down the field or by actually getting a stop. This isn't Iowa football and punting year after year, session after session isn't a winning strategy. #Nebraska #NE02 #AmericaFirst #Election2024"
1788385486056382594,"Border fencing is a force multiplier to help secure our border from illegal crossings, as well as drug and human trafficking. That’s why the border patrol agents support it. Even Obama supported building fencing.  Radical liberal Will Rollins says he’ll OPPOSE any border fencing. https://t.co/izELjdpMim"
1793305757200404911,The good news for Ole Miss is that now they can focus on football season &amp; that big disappointing loss in the 1st round of the CFP that ends their best season ever. You heard it here first.
1808911017461830005,"NEW: META CEO Mark Zuckerberg shares video of him wearing a Tuxedo while holding a USA flag, drinking a beer, all while wake surfing.  The video amassed over 150,000 likes and 1.4M views in the hour after it was posted.  In 2021, Zuckerberg shared a similar video where he was hydrofoiling while holding the American flag."
1812183141521744383,"@CLos1881 @usabasketball @JoelEmbiid @NBA @NBAArabic @sixers Trash display   Load management still …. Lost to Nigeria and Australia.  Big up to Durant for being the only one balling Grant Hill , Steve Kerr wtf y’all doing with this BS. Get the team together and let them ball, Jaylen Brown , is needed."
1812183508476993646,"@mojgangsta3 @natepgs @BiasedHouston Bro we is it’s a reason why black people &amp; basketball &amp; football makes the most money &amp; wins most of the rewards please go do yo research my guy black people won most the awards dating back to when both leagues was founded, I’m stating facts you stating yo opinion"
1816942300569780644,Wishing all of our amazing @TeamUSA athletes the best of luck at the #Paris2024 Olympic Games. A proud nation is looking forward to watching you shine.
1816991746737254682,"Beautiful @Olympics opening ceremony in @Paris, the greatest city in the World. A few weird moments…but overall impressive, in particular the finale.  Looking forward to the competitions.  Go @SouthSudan basketball. https://t.co/Zg8wXX64qI"
1817252283006030298,"MMA fighters are some of the most athletic individuals in the world and yet, MMA is not recognized as an Olympic Sport. This despite the fact that many fighters have not only competed in the Olympics, but they’ve won Gold Medals.   It’s time to change that. It’s time to recognize MMA for what it is, on the biggest stage available.   MMA IS A GOLD MEDAL SPORT #MMAIS"
1817572171331612732,The actors of the Warrior Flag Team cheer for the Chinese Olympic team 💪 #Xi'an  https://t.co/v1V6migs4o
1817572637234618484,"Our fellow X user, and Israeli rhythmic gymnast Karina Pritika, might have been competing at the Paris Olympics right now, but she was executed by a monster for being a Jew while pleading for her life on her knees after watching him murder her best friend . https://t.co/dXA64UZcBj"
1817643417570025679,"@BishopBarron @Olympics If I may. Confront their arguments instead of opposing view. What they say is right and justified based on their ethics. They have a different 'god' and their ethics are based on sex, 'natural' desires. So 1. Expose their ethics and criticize it and 2. Educate on morality"
1817807973499982014,BIG NEWS 🚨 Congress MP Karti Chidambaram said that hosting Olympics in India will drive the country into a HUGE financial debt.  He said 'It will be a colossal disaster for our Country'  'Infrastructure built with the money will go unused after the Olympics'  'It’s better to focus on supporting our sportspersons & give them the resources' - KARTI.  Nita Ambani has said 'Day is not for when India will host the Olympics'   India might bid to host the 2036 Olympics.
1818666338262696172,The International ­Olympic Committee confirmed two boxers who were disqualified from the world champion­ships last year for failing ‘gender eligibility tests’ were allowed to fight in Paris. What a bloody disgrace! So the Olympics permits MEN smacking women about?! ‘Progress’?! https://t.co/kkTsIcHTNh
1819618316274540678,"In response to the baseless accusations of doping leveled against Chinese athletes, Chinese swimmer Zhang Yufei questioned Western media outlets as to why Western athletes such as Phelps and Ledecky are not questioned when they perform well, but Chinese athletes who win medals should be questioned. #OlympicGames #Swimming"
1820088653366051053,@GabGab1968D @alanabrahamson @IBA_Boxing @Olympics Are you saying the current test used by the Olympics is wrong?  And what was the test the IBA ran and what were the numbers? (Hint: you can't say because the Russian-controlled IBA never shared them – not even with the athletes!)
