id_u,name,intro,platform,following_count,follower_count,posts
twitter/1720292392321077248,美丽奸~孟鹏,欢迎殖畜反贼对线 15811110520,twitter,188,43,658
twitter/1557778150494334977,Kaveh The Leftist Blacksmith (کاوه آهنگر)🇮🇷🇵🇸,"Revolutionary, Anti-Imperialist, Left-Libertarian. “Democracy” is an illusion. #M4A. #FreeAssange. #FreePalestine. Liberals🚫Corporatists🚫Centrists🚫Zionists🚫",twitter,529,521,138065
twitter/1210396823317147649,あんかけナポリ,誤字脱字アリ/ 政治ツイ多め/ 情報収集が基本,twitter,4189,72515,27741
twitter/1242117902691524608,Enoch,Everything woke turns to shit,twitter,251,114,3120
twitter/919365578640408581,iwishpiece,日本愛強い、後世に遺すのが使命の一つ、それが世界平和に通じる。是々非々心掛け。反日蛮行国とは永久絶縁熱望。差別利権貪る屑嫌悪。 移民政策や共生の強制、過剰な権利自由主義、ポリコレ、グローバリズム、家族崩壊思想に反対！ ◆応援⇒日本保守党、参政党 杉田水脈、有村治子、長尾たかし、赤池誠章、佐藤正久、世良公則、平野雨龍,twitter,17798,18044,767128
twitter/1713398099392233472,放羊的星星⭐️,100%互fo，互评互赞互分享转发，可以私聊。#follow me＃follow back 100%#,twitter,7021,8424,9636
twitter/14084846,Economic Observer,"China news, in-depth and independent. Not an RSS dump.",twitter,1329,5986,8414
twitter/1528233392499834881,0xdahua｜大华 🎮,🔆@N9_Club Founder @YieldGuild 华语负责人   Web3 Game analyst & investor  WeChat：N9_Club 📩合作DM 近3亿用户的共同选择 出入金安全 启程Web3  就在币安：https://t.co/ZHwDqhClQu,twitter,2337,34855,7811
twitter/257355108,朝日新闻中文频道,虽然朝日新闻中文网现已关闭，但今后我们将以朝日新闻中文频道的身份，为大家介绍朝日新闻丰富多彩的YouTube视频。如果您对我们专业记者报道的新闻感兴趣的话，欢迎您关注我们的YouTube频道👇。由于我们团队人员主要为日本人，遣词用句或许会有不妥之处，还请您多多包涵 【朝日新聞の公式中国語アカウントです】,twitter,1596,367802,20757
twitter/1279854488371843072,Leah,Organic Christian. Jesus + nothing. #onlylovewins  Just tell the truth. #paulwhelanmatters,twitter,13168,13466,78751
twitter/874805809288331264,咬字小蚊人,想做坏人,twitter,393,257,34373
twitter/1331076363315384323,Gido,"Canadian anti-imperialist, lover of peace and social justice.",twitter,2233,1322,118722
twitter/1138814255854247941,Proudly Blue,"PRO going green, taxing churches,  DEI,  abortions on demand, wokeness, LGBTQ rights,  BLM, migrants, NATO, free trade, Democracy, & impeaching Trump ASAP!",twitter,19308,22263,50481
twitter/56029652,山琳-寅兮 shanlin-yinxi,Mom. Writer. Warrior. Bad Ass,twitter,488,19015,16309
twitter/4384551574,Елена,"🌏….не сказать, что пугающе страшна была эпидемия, куда больше удручал факт недоступности врачевателей, способных изыскать причины/следствия оного недуга-2025",twitter,4305,4484,64413
twitter/1554720997353607168,姓名为空,"",twitter,179,105,969
twitter/1126483698218455040,shirley,"",twitter,691,558,4528
twitter/173470846,ChrisonX,"Husband, Dad, Marine Corps Combat Vet, Noticer",twitter,1874,1074,10504
twitter/1094123023500742656,catcarterpi,"",twitter,886,13636,29638
twitter/1618091652580507648,dangerousbeenz,Opinionated old rat. Green. b 310.4ppm. Degrowth. My truth may not be your truth. In a world of Kardashians be an Attenborough.,twitter,952,669,75663
twitter/97973755,Tony,Sports - Miami Hurricanes & Dolphins - Cincinnati Bengals & Reds NO DMs,twitter,5782,3554,44055
twitter/1070979987094818816,not active,THIS ACCOUNT WILL NO LONGER BE ACTIVE.,twitter,2172,2022,9737
twitter/1215965963092234240,林才竣Michael新號,香港人,twitter,1253,13896,25464
twitter/1735815616555073536,ShockWave • MAGA City USA,MAGA Retired MedEvac Critical Care Paramedic. Relocation Pilot substitute user pic,twitter,38603,39013,20972
twitter/1270133776748855304,Tony - Resistance,"#Resistance - Info about Democratic Pro-Choice Candidates, The Supreme Court, Women's Rights, Voting Rights, LGBTQ+ Rights, Justice, Nature, and Dog Lover.",twitter,15149,57825,162826
twitter/1516694549875376128,鲁时（互fo必回）,用脚步丈量祖国大地，用眼睛发现中国精神，用耳朵倾听人民呼声，用内心感应时代脉搏，用文字、图片、视频等发出中国声音、讲述中国故事、展现大美中国，宣传推介好品山东、好客山东！,twitter,8641,11920,6712
twitter/1577993757642964993,gh#1,"Farmer who loves family,God & USA.",twitter,2262,534,28061
twitter/901589011386425344,Shine,"I'm very sorry, I refuse to chat privately （非常抱歉，不私聊）",twitter,2123,395,4235
